id,house_size,bedrooms,bathrooms,floors,year_built,location_score,distance_city,garage,garden,school_rating,crime_rate,house_price
1,142,1,1,1,1974,5.3202438066526945,27.30473399318362,1,0,4.965073949304971,0.6986455376360908,423915
2,388,1,1,1,1970,7.589641829701017,21.539756890492875,0,0,6.705822232952136,0.5275032753953012,1248367
3,310,2,1,2,2012,6.100596099500615,24.25359835520238,0,1,9.116800936551972,0.4612915959244017,1038783
4,146,3,3,2,1978,2.8436137681687437,16.168105262778433,0,0,6.646765793326189,0.12676565200176826,556287
5,111,2,1,2,2008,2.7567428114701795,4.206199516431537,2,0,1.5477497379523788,0.05636648303543068,427317
6,228,2,3,1,2003,4.904498486673752,16.348717221334404,0,0,6.133769994819009,0.9527754265636084,756169
7,60,2,3,1,1998,5.346915164284814,10.21158463538307,1,0,5.717930122644615,0.186526562546538,327301
8,142,2,1,1,2018,5.528191983818242,0.7981211685985872,1,0,5.06820922764112,0.2768717074772178,642447
9,161,3,1,1,2017,9.595006817522973,18.643555894559512,1,1,6.119157790028387,0.6109485367467514,680263
10,254,1,1,2,2017,1.9022908972372883,25.68265211508701,1,1,7.053558965248906,0.8279257182173452,685209
11,370,5,3,1,2015,4.424740608680457,21.461285724211507,0,1,1.3353408378800649,0.8331419675119224,1177695
12,127,1,3,1,1971,5.630926916089182,7.094205431477493,1,0,5.321808045932512,0.8296474176043126,491853
13,139,1,1,1,1988,9.668014654608118,24.664429351770377,2,0,8.355052297928687,0.9780880075975832,543407
14,399,5,1,2,1997,5.538833353063344,9.630234774967546,2,0,5.776994827744752,0.05570304674632387,1381064
15,191,2,2,1,2004,7.977481481088047,6.945320693571952,0,0,1.6107201056594513,0.39984819823599826,782852
16,170,3,1,1,2009,7.743502972379972,28.853682748888787,2,0,7.9756299198648595,0.9135877459024494,625235
17,189,3,2,1,2022,6.097996444856248,0.9896168936318024,2,1,9.471984016564424,0.4673378176002905,855431
18,348,1,2,1,2020,2.17632791787385,5.4432895440939575,0,1,8.666595621993949,0.87129662342327,1179626
19,297,5,3,1,2017,2.968828389624343,14.276530469977402,0,0,4.26311919607676,0.017656450670396118,1023229
20,383,4,3,2,1991,3.1612623275935112,5.428541574584832,1,0,5.8134145481690505,0.5043678186690517,1360441
21,333,2,2,1,1973,1.3479368288962048,5.422650323269217,1,0,6.321809407273573,0.9224522159175857,1039891
22,231,1,2,1,1977,4.412962088720117,19.213275184342127,0,0,7.442187276958065,0.2612828857752453,797481
23,316,3,1,1,1970,6.494623501386113,24.661388590304952,2,0,6.994619125361568,0.9296583098415669,1048306
24,200,5,2,1,2005,2.2983966886508123,20.017714767001994,0,0,2.7916431991144224,0.00847728720915053,680295
25,353,5,1,1,1976,2.5753240881879647,3.4928400479760793,1,1,8.587345507877988,0.07892753785518358,1260722
26,61,1,3,2,1994,7.362876955623774,26.913664956884315,0,1,8.642641539050913,0.4768246225160826,315851
27,292,4,1,1,1998,2.5232804993130733,27.72106113655581,0,1,4.639164162206169,0.10637960844636363,911214
28,275,3,3,2,1970,2.218020198570609,8.789575131762922,2,1,2.178232292883635,0.22559731554918816,934887
29,384,1,2,2,1987,9.800576978107852,16.816819905632308,0,1,6.477100716327916,0.2975250213785223,1353718
30,88,4,2,1,1973,1.1326175266917513,14.814480200805454,1,0,4.215339351433095,0.48149600936320003,350191
31,98,5,2,1,1989,3.928673524189265,20.2126294275325,0,1,7.672515658430082,0.39051363532266725,409696
32,209,2,1,2,2015,1.314429952515779,29.34941916147703,2,0,3.8409139459817396,0.9221476386495957,587217
33,227,3,3,1,1977,8.542433742351271,29.598220214081763,0,1,3.3669934824602104,0.8860146614868031,767391
34,310,3,3,2,1996,6.251821428408138,15.519757615736413,2,1,8.809393344184699,0.7480708911134119,1134322
35,229,4,3,2,2019,1.4315666760444037,3.2125150431324503,0,1,6.542384820018923,0.6593083110390076,826443
36,214,1,3,1,2008,6.538259386244802,10.366939538500858,2,0,1.7739247901402366,0.20434106023000342,800528
37,90,5,3,1,2004,2.1078675336995807,12.700211500091104,0,0,7.204265625238867,0.6018262583796167,393295
38,94,4,1,2,1994,5.461593469498503,16.271684204446395,0,1,7.774601962611747,0.1470627675416507,458611
39,283,2,3,1,2022,7.02471623088261,28.83092593523407,0,1,3.116832520899762,0.4527191176908608,936900
40,359,2,2,2,1983,2.336563295506279,8.241317142320451,0,1,9.708907128652216,0.4615237517731824,1207590
41,170,2,3,2,2013,5.473453669713723,16.332287688273887,0,1,4.355724219016763,0.6897099565721312,642062
42,346,4,2,1,2016,5.1166983616934045,9.085908481386255,1,0,9.465164647636602,0.8351267251406893,1235690
43,174,5,1,2,2009,9.24175429230951,27.62412492819238,1,0,3.64255231077754,0.32050226939712323,713100
44,60,3,1,2,2000,9.961312551177748,29.70375203093594,0,0,6.482763830641658,0.04118127615875178,331484
45,368,1,2,2,1974,6.890270019685622,26.186808361468838,2,1,5.658128790728163,0.04697037165090712,1202571
46,206,3,3,2,1986,8.69373240058384,10.492935963265394,2,1,9.929426895434425,0.8748242882872412,896059
47,313,5,1,2,1979,6.821937616932402,8.697578659735612,1,0,4.67520048406535,0.48632586028197544,1114302
48,128,3,1,2,2012,8.886576298878882,13.219533017053076,1,1,2.6136159713083624,0.24801258308910057,603435
49,355,4,1,1,1985,4.89944846708468,22.553493819035932,1,0,8.498879767901464,0.03228672739930194,1187885
50,53,2,3,2,2017,6.471908720502723,0.7748072412761003,2,0,1.3783974567741102,0.528764338045669,368815
51,281,5,2,2,1973,8.606525708381023,29.855779164561042,1,0,8.964604259578032,0.1370947798535107,1042379
52,304,5,2,1,1974,9.262771481988258,26.5606351467655,1,0,1.9953054407660633,0.41702806720006635,1065900
53,385,3,3,1,2011,1.2221445998546496,1.2025581779268963,1,1,6.148111941730233,0.5160777150160704,1303482
54,92,4,1,1,2015,1.9355742305879011,11.771954485308887,0,0,7.420737859494816,0.22920032579655725,347436
55,379,3,3,2,2010,9.380548552043143,20.79110472869258,0,0,4.026910065350378,0.1988368061721012,1311743
56,131,3,3,1,2019,6.1165789276107825,7.621473063075078,1,1,8.602672959165572,0.019808070692859392,656310
57,303,5,2,2,1989,9.911728845404767,4.713742148304532,2,1,6.3433447245609855,0.5855207851045394,1207428
58,74,3,3,2,1975,8.133697384451985,19.064893114380688,0,0,4.556403013349713,0.20044121105642954,404571
59,245,2,3,2,1980,8.3632616536883,27.15400081803345,1,0,3.928271771106149,0.8782284458278488,848073
60,120,3,1,2,2022,4.475102568859064,28.690003012407153,0,1,2.0080741272009024,0.6037765497758473,352063
61,89,2,1,1,1986,3.3178724905149912,0.8027675353687204,2,1,6.763272048647806,0.5564143297470507,455780
62,399,5,2,2,2010,6.384332565836922,26.29649192531633,1,1,4.276386516998142,0.5046846646081359,1338470
63,41,4,1,2,1972,8.911288887714992,17.042653213254866,1,1,3.8850449368509685,0.2153100783909031,356093
64,93,2,3,2,1985,7.531286578374826,7.5122768162360325,0,0,9.549531841472234,0.969410444276991,497036
65,145,4,3,2,2021,5.2495762615655055,18.699839378228894,1,1,3.4551783012178383,0.9670446294744156,537211
66,299,4,3,2,2005,7.778804284369345,29.87576863960144,0,1,8.88908599627187,0.32127242457983074,1086852
67,349,2,2,2,1995,7.213578608868353,8.647083990090026,2,0,9.77406419892339,0.7762162240229746,1261423
68,230,5,1,1,1993,9.217462824144363,8.6682039414531,0,1,8.404659539441866,0.11924606571089436,1009263
69,257,1,3,1,2016,3.372015008183531,21.118802600326205,1,0,1.1756535693622014,0.7805288456318465,755012
70,83,4,1,2,2003,2.0738031333130875,1.7746230406443433,2,1,8.817615910352234,0.2863319329712851,427804
71,201,4,1,2,1989,5.230460466750374,24.706142938760937,2,1,2.9207380349629464,0.2891344759672575,679031
72,241,5,1,2,1986,4.24972729775936,19.749603212249678,2,0,4.179498632657378,0.5072333094475989,851697
73,309,5,1,2,2020,9.773750323602805,25.31514254259655,0,0,9.924248735756374,0.39232896166874653,1157666
74,390,3,2,2,1989,1.0675376889962824,7.3068322809586554,2,0,4.6448007350104845,0.11783114297379049,1238634
75,343,5,2,1,1985,9.400447557818165,25.492111612345585,1,0,6.8935140160733805,0.5930771429299544,1217774
76,310,4,2,2,2020,9.595713002499677,13.734098793540603,2,1,3.79647268418093,0.2138436093822711,1187539
77,254,2,3,1,2022,1.4586253909161044,4.415305882202942,2,0,4.324858018014973,0.44447978130485655,892203
78,291,1,3,1,2018,9.006128660311003,27.091966599753967,0,0,6.3786279561064525,0.23101068983084772,998775
79,229,3,3,1,1973,5.2370095566829855,21.29788786231956,0,0,9.534571711764247,0.8575852416265553,823393
